---------- Resumen de botones registrados ----------
Se han registrado 591 combinaciones distintas.

Botón 0: 07 80 80 80 80 0F 01 00 00 00 00 	 Dirección asignada: Neutral
Botón 64: 07 AB 07 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 65: 07 A7 06 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 66: 07 A6 05 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 67: 07 A4 05 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 68: 07 A2 04 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 69: 07 9E 04 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 70: 07 9C 03 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 71: 07 9A 03 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 72: 07 98 02 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 73: 07 95 01 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 74: 07 94 01 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 75: 07 92 01 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 76: 07 91 01 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 77: 07 8E 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 78: 07 8D 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 79: 07 8C 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 80: 07 8A 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 81: 07 89 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 82: 07 88 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 83: 07 87 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 84: 07 86 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 85: 07 85 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 86: 07 84 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 87: 07 83 00 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 88: 07 83 0D 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 89: 07 83 2F 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 90: 07 82 6E 80 80 0F 00 00 00 00 00 	 Dirección asignada: Arriba
Botón 91: 07 82 84 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 92: 07 86 8C 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 93: 07 8C 97 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 94: 07 93 A5 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 95: 07 9C B9 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 96: 07 A5 CF 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 97: 07 B3 F3 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 98: 07 B3 F5 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 99: 07 B4 F4 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 100: 07 B2 F5 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 101: 07 B0 F6 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 102: 07 AF F6 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 103: 07 AC F7 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 104: 07 AB F8 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 105: 07 AA F8 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 106: 07 A8 F9 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 107: 07 A7 F9 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 108: 07 A5 FA 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 109: 07 A4 FA 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 110: 07 A3 FA 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 111: 07 A2 FB 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 112: 07 A1 FB 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 113: 07 A0 FB 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 114: 07 9F FB 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 115: 07 9E FC 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 116: 07 9D FC 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 117: 07 9C FC 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 118: 07 9B FC 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 119: 07 9B FD 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 120: 07 95 DE 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 121: 07 93 CA 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 122: 07 8F AF 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 123: 07 88 93 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 124: 07 86 7F 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 125: 07 8C 7E 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 126: 07 94 7D 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 127: 07 9F 7D 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 128: 07 AB 7D 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 129: 07 D0 80 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 130: 07 E8 84 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 131: 07 FE 88 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 132: 07 FF 8B 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 133: 07 FF 89 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 134: 07 FF 85 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 135: 07 FF 7D 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 136: 07 FF 7A 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 137: 07 FF 78 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 138: 07 FF 76 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 139: 07 FF 73 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 140: 07 FF 72 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 141: 07 FF 71 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 142: 07 FF 74 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 143: 07 FF 75 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 144: 07 F1 7A 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 145: 07 D3 7E 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 146: 07 B4 81 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 147: 07 9A 82 80 80 0F 00 00 00 00 00 	 Dirección asignada: Derecha
Botón 148: 07 7F 80 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 149: 07 7D 83 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 150: 07 77 85 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 151: 07 6F 87 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 152: 07 65 87 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 153: 07 59 87 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 154: 07 3C 84 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 155: 07 2E 82 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 156: 07 20 81 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 157: 07 13 80 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 158: 07 00 80 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 159: 07 00 81 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 160: 07 00 87 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 161: 07 00 89 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 162: 07 00 8C 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 163: 07 01 90 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 164: 07 01 91 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 165: 07 01 92 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 166: 07 01 8F 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 167: 07 00 8E 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 168: 07 00 8B 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 169: 07 00 8A 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 170: 07 00 88 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 171: 07 00 85 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 172: 07 00 84 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 173: 07 00 82 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 174: 07 00 7D 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 175: 07 00 7C 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 176: 07 00 7B 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 177: 07 00 7A 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 178: 07 00 79 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 179: 07 00 78 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 180: 07 0B 77 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 181: 07 48 7C 80 80 0F 00 00 00 00 00 	 Dirección asignada: Izquierda
Botón 182: 07 7B 80 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 183: 07 81 84 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 184: 07 81 8A 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 185: 07 80 93 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 186: 07 7E 9F 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 187: 07 7B AF 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 188: 07 78 C2 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 189: 07 75 D8 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 190: 07 71 FF 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 191: 07 6F FE 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 192: 07 6E FE 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 193: 07 6D FE 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 194: 07 6B FE 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 195: 07 6C FE 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 196: 07 70 FF 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 197: 07 76 E3 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 198: 07 80 96 80 80 0F 00 00 00 00 00 	 Dirección asignada: Abajo
Botón 199: 07 80 84 80 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 200: 07 80 80 81 7F 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 201: 07 80 80 88 7E 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 202: 07 80 80 90 7C 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 203: 07 80 80 9B 79 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 204: 07 80 80 A8 76 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 205: 07 80 80 C8 6C 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 206: 07 80 80 DA 65 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 207: 07 80 80 EF 5F 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 208: 07 80 80 FA 5B 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 209: 07 80 80 F7 51 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 210: 07 80 80 F6 4F 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 211: 07 80 80 F6 4E 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 212: 07 80 80 F5 4E 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 213: 07 80 80 E7 59 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 214: 07 80 80 CC 61 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 215: 07 80 80 AE 69 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 216: 07 80 80 7F 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 217: 07 80 80 78 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 218: 07 80 80 6E 80 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 219: 07 80 80 62 82 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 220: 07 80 80 52 84 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 221: 07 80 80 23 8A 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 222: 07 80 80 0B 8D 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 223: 07 80 80 01 8F 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 224: 07 80 80 00 8E 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 225: 07 80 80 00 8C 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 226: 07 80 80 00 89 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 227: 07 80 80 00 87 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 228: 07 80 80 00 86 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 229: 07 80 80 00 88 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 230: 07 80 80 00 8B 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 231: 07 80 80 11 88 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 232: 07 80 80 2D 87 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 233: 07 80 80 6D 81 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 234: 07 80 80 7E 79 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 235: 07 80 80 7C 71 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 236: 07 80 80 7A 67 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 237: 07 80 80 78 5B 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 238: 07 80 80 75 3A 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 239: 07 80 80 74 0F 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 240: 07 80 80 74 00 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 241: 07 80 80 73 00 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 242: 07 80 80 71 01 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 243: 07 80 80 70 01 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 244: 07 80 80 71 00 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 245: 07 80 80 72 00 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 246: 07 80 80 79 39 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 247: 07 80 80 7C 62 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 248: 07 80 80 7F 7C 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 249: 07 80 80 7F 82 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 250: 07 80 80 7E 8C 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 251: 07 80 80 7D 98 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 252: 07 80 80 7C A9 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 253: 07 80 80 7B BE 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 254: 07 80 80 79 F2 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 255: 07 80 80 79 FF 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 256: 07 80 80 7B FF 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 257: 07 80 80 7C FF 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 258: 07 80 80 7D FF 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 259: 07 80 80 7D EA 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 260: 07 80 80 7E CB 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 261: 07 80 80 7E B6 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 262: 07 80 80 7F 9A 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 263: 07 80 80 80 7F 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 264: 07 80 80 7F 7E 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 265: 07 80 80 7F 7D 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 266: 07 80 80 7E 7C 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 267: 07 80 80 7D 78 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 268: 07 80 80 7C 77 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 269: 07 80 80 7C 75 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 270: 07 80 80 7B 73 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 271: 07 80 80 7B 72 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 272: 07 80 80 7A 71 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 273: 07 80 80 7A 6F 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 274: 07 80 80 79 6F 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 275: 07 80 80 79 6E 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 276: 07 80 80 78 6D 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 277: 07 80 80 78 6C 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 278: 07 80 80 78 6B 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 279: 07 80 80 78 6A 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 280: 07 80 80 77 68 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 281: 07 80 80 76 68 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 282: 07 80 80 76 67 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 283: 07 80 80 75 68 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 284: 07 80 80 75 69 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 285: 07 80 80 75 6A 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 286: 07 80 80 75 6B 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 287: 07 80 80 75 6C 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 288: 07 80 80 76 6D 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 289: 07 80 80 76 6E 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 290: 07 80 80 77 6E 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 291: 07 80 80 77 6F 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 292: 07 80 80 78 70 0F 00 40 00 00 00 	 Dirección asignada: Neutral
Botón 293: 07 80 80 78 71 0F 00 40 00 00 00 	 Dirección asignada: Neutral
Botón 294: 07 80 80 78 72 0F 00 40 00 00 00 	 Dirección asignada: Neutral
Botón 295: 07 80 80 79 73 0F 00 40 00 00 00 	 Dirección asignada: Neutral
Botón 296: 07 80 80 79 74 0F 00 40 00 00 00 	 Dirección asignada: Neutral
Botón 297: 07 80 80 7A 76 0F 00 40 00 00 00 	 Dirección asignada: Neutral
Botón 298: 07 80 80 7B 78 0F 00 40 00 00 00 	 Dirección asignada: Neutral
Botón 299: 07 80 80 7C 7A 0F 00 40 00 00 00 	 Dirección asignada: Neutral
Botón 300: 07 80 80 7C 7A 0F 00 00 00 00 00 	 Dirección asignada: Neutral
Botón 301: 07 80 80 7D 7B 0F 00 00 00 00 00 	 Dirección asignada: Neutral
